,Op name,Op type,Is parameter,Is input,Is output,Variable name,Noise:Signal Power Ratio,Noise Mean,Noise Std,Noise Skewness,Noise Kurtosis,Noise Hist,Noise Max,Noise Min,Quantized Mean,Quantized Std,Quantized Skewness,Quantized Kurtosis,Quantized Hist,Quantized Max,Quantized Min,Float Mean,Float Std,Float Skewness,Float Kurtosis,Float Hist,Float Max,Float Min
123,Conv_96,Conv,False,False,True,627,0.019755719229578972,-0.0015508574433624744,0.02130284532904625,-0.22477266192436218,30.15190887451172,"[2.0, 0.0, 4.0, 5.0, 6.0, 6.0, 3.0, 6.0, 17.0, 20.0, 29.0, 52.0, 254.0, 1492.0, 4130.0, 2541.0, 438.0, 106.0, 50.0, 29.0, 9.0, 7.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0]",0.2771148681640625,-0.2374861240386963,0.03655634820461273,0.14234435558319092,-0.08603473007678986,0.3005523681640625,"[1.0, 5.0, 3.0, 3.0, 6.0, 8.0, 21.0, 37.0, 84.0, 125.0, 199.0, 286.0, 492.0, 688.0, 862.0, 939.0, 929.0, 934.0, 920.0, 798.0, 650.0, 555.0, 319.0, 171.0, 67.0, 35.0, 35.0, 21.0, 14.0, 6.0, 0.0, 3.0]",0.6228792071342468,-0.6192300319671631,0.03810720890760422,0.1471073478460312,-0.10473994165658951,1.1987056732177734,"[1.0, 2.0, 4.0, 1.0, 0.0, 0.0, 1.0, 2.0, 3.0, 13.0, 29.0, 57.0, 141.0, 243.0, 372.0, 698.0, 1017.0, 1167.0, 1207.0, 1162.0, 1105.0, 836.0, 636.0, 276.0, 112.0, 52.0, 33.0, 18.0, 6.0, 10.0, 9.0, 3.0]",0.7027768492698669,-0.8963449001312256
124,Conv_100,Conv,False,True,False,445,0.015324724838137627,-0.0020159929990768433,0.015428975224494934,-4.241452693939209,45.35084915161133,"[1.0, 1.0, 0.0, 3.0, 2.0, 3.0, 3.0, 1.0, 2.0, 3.0, 2.0, 12.0, 9.0, 18.0, 15.0, 24.0, 35.0, 82.0, 279.0, 974.0, 5637.0, 1516.0, 468.0, 87.0, 17.0, 7.0, 5.0, 8.0, 1.0, 0.0, 0.0, 1.0]",0.12919919192790985,-0.2405920922756195,0.07699687778949738,0.09425801783800125,1.2847893238067627,1.4555916786193848,"[4108.0, 477.0, 493.0, 479.0, 480.0, 468.0, 419.0, 412.0, 347.0, 320.0, 216.0, 272.0, 212.0, 140.0, 121.0, 64.0, 45.0, 27.0, 19.0, 18.0, 26.0, 8.0, 11.0, 9.0, 12.0, 4.0, 5.0, 1.0, 0.0, 0.0, 2.0, 1.0]",0.6200610995292664,0.0,0.07901287078857422,0.09775203466415405,1.4687035083770752,2.7808942794799805,"[4188.0, 531.0, 524.0, 534.0, 493.0, 501.0, 464.0, 392.0, 348.0, 337.0, 266.0, 206.0, 122.0, 81.0, 59.0, 37.0, 21.0, 27.0, 20.0, 14.0, 9.0, 8.0, 6.0, 2.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 1.0, 2.0]",0.7027768492698669,0.0
125,Conv_100,Conv,True,True,False,631,3.805488086072728e-05,-0.000872676377184689,0.004780369345098734,-0.22302860021591187,0.4505925178527832,"[9.0, 0.0, 18.0, 9.0, 45.0, 18.0, 9.0, 45.0, 36.0, 162.0, 225.0, 333.0, 351.0, 522.0, 567.0, 648.0, 855.0, 945.0, 756.0, 837.0, 855.0, 450.0, 414.0, 504.0, 216.0, 162.0, 90.0, 72.0, 27.0, 0.0, 27.0, 9.0]",0.014650881290435791,-0.020181655883789062,0.05403407663106918,0.7846531867980957,0.6393988132476807,7.97288703918457,"[9.0, 0.0, 18.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 18.0, 18.0, 54.0, 18.0, 81.0, 117.0, 387.0, 1368.0, 2376.0, 2502.0, 1026.0, 306.0, 198.0, 81.0, 81.0, 198.0, 144.0, 90.0, 45.0, 27.0, 0.0, 0.0, 45.0]",3.9335131645202637,-5.166507720947266,0.05490674823522568,0.7858108282089233,0.6643529534339905,7.9260101318359375,"[9.0, 0.0, 18.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 18.0, 27.0, 45.0, 18.0, 81.0, 117.0, 441.0, 1413.0, 2394.0, 2466.0, 954.0, 297.0, 198.0, 90.0, 81.0, 189.0, 162.0, 72.0, 45.0, 27.0, 0.0, 0.0, 45.0]",3.9489994049072266,-5.146326065063477
126,Conv_100,Conv,True,True,False,632,0.0,0.0,0.0,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9216.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.10512490570545197,0.3566631078720093,0.24980756640434265,1.3717708587646484,"[9.0, 27.0, 18.0, 27.0, 0.0, 0.0, 27.0, 72.0, 45.0, 72.0, 153.0, 459.0, 522.0, 1071.0, 1602.0, 1107.0, 306.0, 297.0, 702.0, 1143.0, 585.0, 279.0, 234.0, 117.0, 117.0, 90.0, 27.0, 0.0, 18.0, 45.0, 36.0, 9.0]",1.456101894378662,-1.3120837211608887,0.10512490570545197,0.3566631078720093,0.24980756640434265,1.3717708587646484,"[9.0, 27.0, 18.0, 27.0, 0.0, 0.0, 27.0, 72.0, 45.0, 72.0, 153.0, 459.0, 522.0, 1071.0, 1602.0, 1107.0, 306.0, 297.0, 702.0, 1143.0, 585.0, 279.0, 234.0, 117.0, 117.0, 90.0, 27.0, 0.0, 18.0, 45.0, 36.0, 9.0]",1.456101894378662,-1.3120837211608887
127,Conv_100,Conv,False,False,True,630,0.01752692461013794,-0.0012201783247292042,0.031634069979190826,-1.1091971397399902,26.20199203491211,"[2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 6.0, 4.0, 9.0, 14.0, 11.0, 19.0, 27.0, 46.0, 165.0, 483.0, 1389.0, 5121.0, 1294.0, 429.0, 99.0, 37.0, 13.0, 4.0, 5.0, 3.0, 8.0, 6.0, 11.0, 3.0]",0.26676511764526367,-0.4140715003013611,0.0778614729642868,0.2227807193994522,0.2699415981769562,-0.15390348434448242,"[3.0, 5.0, 18.0, 19.0, 31.0, 63.0, 78.0, 155.0, 161.0, 418.0, 458.0, 751.0, 932.0, 1219.0, 600.0, 571.0, 478.0, 545.0, 463.0, 571.0, 494.0, 383.0, 331.0, 194.0, 104.0, 56.0, 40.0, 26.0, 25.0, 11.0, 7.0, 6.0]",0.8819056749343872,-0.6634579300880432,0.07908165454864502,0.22566835582256317,0.3569932281970978,0.2146761417388916,"[3.0, 12.0, 21.0, 31.0, 78.0, 124.0, 197.0, 365.0, 606.0, 933.0, 1232.0, 1088.0, 751.0, 593.0, 632.0, 654.0, 611.0, 467.0, 377.0, 206.0, 105.0, 45.0, 28.0, 28.0, 11.0, 5.0, 3.0, 2.0, 0.0, 3.0, 3.0, 2.0]",1.2316557168960571,-0.664765477180481
128,Conv_104,Conv,False,True,False,450,0.01273513212800026,-0.001349631231278181,0.024157319217920303,-3.804779529571533,52.87797546386719,"[2.0, 0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 3.0, 5.0, 0.0, 6.0, 5.0, 6.0, 9.0, 19.0, 16.0, 65.0, 184.0, 627.0, 6079.0, 1545.0, 468.0, 114.0, 34.0, 12.0, 2.0, 5.0, 1.0, 3.0, 0.0, 0.0, 1.0]",0.2545612156391144,-0.4183794856071472,0.13017725944519043,0.16592994332313538,1.1715070009231567,0.6272866725921631,"[4552.0, 341.0, 340.0, 281.0, 253.0, 249.0, 325.0, 267.0, 239.0, 288.0, 487.0, 228.0, 273.0, 226.0, 142.0, 224.0, 90.0, 123.0, 67.0, 51.0, 41.0, 40.0, 12.0, 14.0, 14.0, 17.0, 8.0, 8.0, 3.0, 6.0, 4.0, 3.0]",0.8788630366325378,0.0,0.1315268874168396,0.16931019723415375,1.3094712495803833,1.6325807571411133,"[4598.0, 507.0, 448.0, 376.0, 424.0, 371.0, 402.0, 504.0, 347.0, 326.0, 275.0, 200.0, 155.0, 85.0, 67.0, 41.0, 11.0, 21.0, 23.0, 8.0, 8.0, 3.0, 4.0, 2.0, 0.0, 2.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0]",1.2316557168960571,0.0
129,Conv_104,Conv,True,True,False,634,7.028622349025682e-05,1.9700269149325322e-06,0.0007046809187158942,0.01752612739801407,-0.9592294692993164,"[9.0, 0.0, 45.0, 72.0, 108.0, 288.0, 450.0, 495.0, 477.0, 477.0, 468.0, 567.0, 504.0, 495.0, 396.0, 369.0, 531.0, 459.0, 558.0, 531.0, 513.0, 531.0, 324.0, 297.0, 99.0, 99.0, 18.0, 9.0, 9.0, 9.0, 0.0, 9.0]",0.0021710065193474293,-0.001793794333934784,-0.0026534453500062227,0.08401425927877426,0.11269590258598328,0.35793590545654297,"[27.0, 0.0, 0.0, 36.0, 90.0, 207.0, 180.0, 252.0, 270.0, 432.0, 603.0, 783.0, 927.0, 828.0, 936.0, 846.0, 729.0, 540.0, 441.0, 351.0, 234.0, 135.0, 144.0, 72.0, 63.0, 54.0, 18.0, 9.0, 0.0, 0.0, 0.0, 9.0]",0.3459184467792511,-0.2737969160079956,-0.002655415330082178,0.08401218056678772,0.11347942799329758,0.3646414279937744,"[27.0, 0.0, 0.0, 36.0, 81.0, 225.0, 180.0, 225.0, 288.0, 441.0, 585.0, 801.0, 909.0, 855.0, 927.0, 855.0, 729.0, 549.0, 441.0, 333.0, 225.0, 144.0, 135.0, 72.0, 63.0, 54.0, 18.0, 9.0, 0.0, 0.0, 0.0, 9.0]",0.3472803235054016,-0.2744080424308777
130,Conv_104,Conv,True,True,False,635,0.0,0.0,0.0,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9216.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.05741417407989502,0.31653615832328796,0.20045700669288635,-0.23949933052062988,"[216.0, 180.0, 117.0, 234.0, 270.0, 198.0, 207.0, 351.0, 396.0, 585.0, 396.0, 477.0, 531.0, 648.0, 549.0, 333.0, 531.0, 639.0, 333.0, 180.0, 585.0, 90.0, 369.0, 216.0, 153.0, 63.0, 0.0, 126.0, 72.0, 0.0, 72.0, 99.0]",0.7849583029747009,-0.7074743509292603,-0.05741417407989502,0.31653615832328796,0.20045700669288635,-0.23949933052062988,"[216.0, 180.0, 117.0, 234.0, 270.0, 198.0, 207.0, 351.0, 396.0, 585.0, 396.0, 477.0, 531.0, 648.0, 549.0, 333.0, 531.0, 639.0, 333.0, 180.0, 585.0, 90.0, 369.0, 216.0, 153.0, 63.0, 0.0, 126.0, 72.0, 0.0, 72.0, 99.0]",0.7849583029747009,-0.7074743509292603
131,Conv_104,Conv,False,False,True,633,0.03297494724392891,-0.002084949053823948,0.04529142379760742,-1.4222074747085571,14.432741165161133,"[1.0, 0.0, 2.0, 2.0, 4.0, 2.0, 2.0, 6.0, 4.0, 3.0, 3.0, 2.0, 15.0, 18.0, 34.0, 96.0, 342.0, 1172.0, 2372.0, 2673.0, 1586.0, 626.0, 175.0, 49.0, 7.0, 9.0, 4.0, 1.0, 4.0, 1.0, 0.0, 1.0]",0.35066038370132446,-0.5286750793457031,0.04566788300871849,0.23172606527805328,0.22902750968933105,0.5765237808227539,"[2.0, 9.0, 7.0, 15.0, 20.0, 26.0, 85.0, 166.0, 301.0, 523.0, 737.0, 940.0, 1039.0, 1003.0, 984.0, 948.0, 793.0, 597.0, 359.0, 253.0, 173.0, 111.0, 48.0, 27.0, 17.0, 15.0, 6.0, 6.0, 1.0, 3.0, 0.0, 2.0]",1.2487599849700928,-0.8741692900657654,0.047752831131219864,0.24507036805152893,0.39000773429870605,1.5333919525146484,"[7.0, 6.0, 12.0, 18.0, 27.0, 41.0, 107.0, 229.0, 457.0, 794.0, 948.0, 1190.0, 1148.0, 1081.0, 990.0, 800.0, 537.0, 342.0, 201.0, 125.0, 59.0, 30.0, 18.0, 10.0, 9.0, 7.0, 11.0, 4.0, 3.0, 1.0, 2.0, 2.0]",1.508621096611023,-0.9292690753936768
132,Conv_105,Conv,False,True,False,633,0.033227887004613876,-0.0020416222978383303,0.045467134565114975,-1.3996491432189941,14.192049026489258,"[1.0, 0.0, 2.0, 2.0, 5.0, 1.0, 3.0, 6.0, 3.0, 4.0, 3.0, 0.0, 17.0, 17.0, 35.0, 118.0, 396.0, 1292.0, 2447.0, 2580.0, 1487.0, 567.0, 163.0, 39.0, 8.0, 8.0, 5.0, 1.0, 4.0, 1.0, 0.0, 1.0]",0.352896124124527,-0.5254745483398438,0.045711204409599304,0.23170891404151917,0.2287108600139618,0.5759899616241455,"[2.0, 9.0, 7.0, 15.0, 23.0, 28.0, 78.0, 189.0, 287.0, 607.0, 673.0, 884.0, 1155.0, 925.0, 1088.0, 873.0, 732.0, 667.0, 312.0, 272.0, 158.0, 103.0, 53.0, 26.0, 21.0, 11.0, 6.0, 6.0, 1.0, 3.0, 0.0, 2.0]",1.2511281967163086,-0.8708833456039429,0.047752831131219864,0.24507036805152893,0.39000773429870605,1.5333919525146484,"[7.0, 6.0, 12.0, 18.0, 27.0, 41.0, 107.0, 229.0, 457.0, 794.0, 948.0, 1190.0, 1148.0, 1081.0, 990.0, 800.0, 537.0, 342.0, 201.0, 125.0, 59.0, 30.0, 18.0, 10.0, 9.0, 7.0, 11.0, 4.0, 3.0, 1.0, 2.0, 2.0]",1.508621096611023,-0.9292690753936768
